,options_a,options_b,options_c,options_d,year,answer,Explanation,shortQuestion,QuestionHeader
61,the pictures,Each of,have been,signed by,SSC CHSL (Tier-I) –05/07/2019 (Shift-III),c,"Ans: (c) In the above Sentence 'has been' will be used  in place of ' have been' because each of, either of ,  always followed by plural Noun and Singular verb  (has).  Each of / Either Of / Neither of Plural Noun Singu lar verb + +   Correct Sentence-   Each of  the pictures has  been signed by the football star.",Each of the pictures have been signed by the football star,Identify the segment which contains the grammatical error.
62,than expected,were much larger,the number of,visitors at the fair,SSC CHSL (Tier-I) –04/07/2019 (Shift-II),b,Ans: (b) In the above Sentence 'was much larger' will  be used in place of 'were much larger' because the main  subject (the number) of the sentence is singular. H ence  singular verb (was) will be used.   Correct Sentence-   The number of visitors at the fair was  much larger than  expected.,The number of visitors at the fair were much larger than expected,Identify the segment which contains the grammatical error.
63,The promoters of,to sell their business,Med Hospitals has agreed,to Pal Hospitals,SSC CHSL (Tier-I) –03/07/2019 (Shift-I),c,Ans:  (c) In the above Sentence 'have agreed' will be  used in place of  'has agreed' because the main sub ject  (promoters) of the sentence is plural. Hence plural  verb  (have) will be used.   Correct Sentence-   The promoters of Med. Hospitals have  agreed to sell  their business to Pal Hospitals.,The promoters of Med Hospitals has agreed to sell their business to Pal Hospitals,In the sentence identify the segment which contains the grammatical error.
64,has been redirected,Many of China's exports,in view of the more consumption-driven economy,to the domestic market,SSC CHSL (Tier-I) –03/07/2019 (Shift-II),a,Ans. (a) :  In the above sentence 'have been redirected'  will be used in place of 'has been redirected' beca use  the subject 'exports' is plural. Hence plural verb 'have'  will be used.    Note- Many a +singular noun + singular Verb     Correct Sentence-   Many of China's exports have  been redirected to the  domestic market in view of the more consumption- driven economy.,Many of China's exports has been redirected to the domestic market in view of the more consumption-driven economy,In the sentence identify the segment which contains the grammatical error.
65,The Cannes Film Festival,most famous people,attract some of,the world's,SSC CHSL (Tier-I) –02/07/2019 (Shift-III),c,Ans: (c) In the above sentence 'attracts' will be used in  place of 'attract' because the main subject (The Ca nnes  film festival) is singular. Hence singular verb (at tracts)  will be used.    Correct Sentence-   The Cannes film festival attracts  some of the world's  most famous people.,The Cannes Film Festival attract some of the world's most famous people,In the sentence identify the segment which contains the grammatical error.
66,The environment protection policy,need to become stricter,combat climate change,if we wish to,SSC CHSL (Tier-I) 16/10/2020 (Shift-II),b,"Ans. (b) In the above sentence 'needs to become stricter'  will be used in place of 'need to become stricter' because  the main subject 'The Environment protection policy ' is  singular. Hence singular verb ' needs' will be used .    Correct Sentence -  The environment protection policy needs  to become   stricter if we wish to combat climate change.  Spotting Error 19 YCT 70.  Select the segment in the sentence, which  contains a grammatical error.     Plenty of people likes to celebrate New Year's  eve with their family and friends.   (a) likes to celebrate     (b) Plenty of people    (c) New year's eve with     (d) their family and friends   SSC CHSL (Tier-I) 17/03/2020 (Shift-II)",The environment protection policy need to become stricter if we wish to combat climate change,In the sentence identify the segment which contains a grammatical error.
67,Scientist have,for snake bite venom has been made,recently announced,that a more effective antidote,SSC CHSL (Tier-I) 13/10/2020 (Shift-I),a,"Ans. (a) :  In the above sentence 'has' will be used in  place of 'have' because scientist is a singular sub ject,  Hence the verb will also be in singular.   Correct Sentence-   ""Scientist has  recently announced that a more effective  antidote for snakebite venom has been made.""",Scientist have recently announced that a more effective antidote for snake bite venom has been made,In the given sentence identify the segment which contains the grammatical error.
68,Everyone are,very well equipped,own weapons,with his,SSC CHSL (Tier-I) 19/03/2020 (Shift-I),a,"Ans. (a) :  In the above sentence 'Everyone is' will be  used in place of 'Everyone are' because each one,  everyone etc. is used as singular subject. Hence  helping verb will be in singular (is).   Correct Sentence-   Everyone is  very well equipped with his own weapons.",Everyone are very well equipped with his own weapons,In the sentence identify the segment which contains the grammatical error.
69,are through doing things,The simplest way,to get proper recognition,with dictation and sincerity,SSC CHSL (Tier-I) 18/03/2020 (Shift-III),a,"Ans. (a) :  In the above sentence subject 'The simplest  way is in singular form, so the verb will also be i n  singular. Hence 'is through doing things' will be u sed  in place of 'are through doing things'.    Correct Sentence-   The simplest way to get proper recognition is  through  doing things with dedication and sincerity.  74.  In the sentence identify the segment which  contains the grammatical error.    Thomas is a man of word who have been paying  back the borrowed money in instalments.    (a) who have been paying back    (b) in instalments     (c) Thomas is a man of word    (d) the borrowed money   SSC CHSL (Tier-I) 18/03/2020 (Shift-I)",The simplest way to get proper recognition are through doing things with dedication and sincerity,In the sentence identify the segment which contains the grammatical error.
70,at the wedding party,in the big bungalow,that was playing,The neighbourhood were getting disturbed,SSC CHSL (Tier-I) 15/10/2020 (Shift-III),d,Ans. (d) :  In the above sentence 'The neighbourhood  was getting disturbed' will be used in place of 'Th e  neighbourhood were getting disturbed' because the  subject of the sentence 'neighbourhood' is uncounta ble  Noun. Hence singular verb (was) will be used.   Correct sentence-     The neighbourhood was  getting disturbed with the  loud music that was playing at the wedding party in  the  big bungalow.,The neighbourhood were getting disturbed with the loud music that was playing at the wedding party in the big bungalow,In the given sentence identify the segment which contains the grammatical error.
71,away with,Someone,have walked,my umbrella,SSC CHSL (Tier-I) 19/10/2020 (Shift-III),c,"Ans. (c) :  In the above sentence 'has walked' will be  used in place of 'have walked' because someone, eac h,  one etc if used as a subject then singular verb is used  with them.   Correct sentence-   Someone has  walked away with my umbrella.",Someone have walked away with my umbrella,In the given sentence identify the segment which contains a grammatical error.
72,Soni take her daughter,to the park,in a stroller,in the evening,SSC CHSL (Tier-I) 20/10/2020 (Shift-II),a,"Ans. (a) :  In the above sentence 'Soni takes her  daughter' will used in place of 'Soni take her daug hter'  because Soni is in singular Number. Hence singular  verb (takes) will be used. Since the sentence is in   present indefinite tense. Verb is made singular by  adding 's/es' in the end of the verb.    Correct sentence-   Soni takes  her daughter to the park in the evening in a  stroller. Spotting Error 20 YCT 78.  In the given sentences, identify the segment  which contains a grammatical error.   Everyone are asking for passes to the music  festival at Nehru Park.    (a) at Nehru Park  (b) for passes     (c) to the music festival  (d) Everyone are asking   SSC CHSL (Tier-I) 19/10/2020 (Shift-II)",Soni take her daughter to the park in the evening in a stroller,Identify the segment in the given sentence which contains the grammatical error.
